Alt Kategori,Yıl,Ay,Endeks,Ay_Num,Tarih
(Konutun Bakım Ve Onarımı),2005,Mayıs,115.47,5,2005-05-01
(Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler),2005,Mayıs,103.16,5,2005-05-01
(Başka Yerde Sınıflandırılmayan Diğer Hizmetler),2005,Mayıs,144.0,5,2005-05-01
(Lokanta Ve Oteller),2005,Mayıs,131.7,5,2005-05-01
(Orta Öğretim),2005,Mayıs,132.65,5,2005-05-01
(Giyim Ve Ayakkabı),2005,Mayıs,117.82,5,2005-05-01
(Posta Hizmetleri),2005,Mayıs,125.49,5,2005-05-01
"(Züccaciye, Yemek Takımı Ve Hanehalkı Aletleri)",2005,Mayıs,117.59,5,2005-05-01
"(Diğer Eğlence Araçları Ve Malzemeleri, Bahçe Ve Evcil Hayvanlara İlişkin Ürünler, Hizmetler)",2005,Mayıs,125.53,5,2005-05-01
(Tütün),2005,Mayıs,122.06,5,2005-05-01
(Okul Öncesi Eğitim Ve İlköğretim),2005,Mayıs,132.82,5,2005-05-01
(Başka Yerde Sınıflandırılmayan Mali Hizmetler),2005,Mayıs,128.66,5,2005-05-01
(Ev Ve Bahçe Araç Gereçleri),2005,Mayıs,118.82,5,2005-05-01
(Alkollü İçecekler),2005,Mayıs,161.36,5,2005-05-01
(Ev Bakım İçin Mal Ve Hizmetler),2005,Mayıs,107.94,5,2005-05-01
(Ev Aletleri),2005,Mayıs,96.62,5,2005-05-01
(Diğer Temel Dayanıklı Eğlence Ve Kültür Araçları),2005,Mayıs,114.63,5,2005-05-01
(Eğlence Ve Kültür Hizmetleri),2005,Haziran,134.68,6,2005-06-01
(Ev Ve Bahçe Araç Gereçleri),2005,Haziran,118.84,6,2005-06-01
(Tütün),2005,Haziran,122.06,6,2005-06-01
"(Gazete, Kitap Ve Kırtasiye)",2005,Haziran,119.72,6,2005-06-01
(Araç Satın Alımı),2005,Haziran,103.83,6,2005-06-01
(Giyim),2005,Haziran,118.21,6,2005-06-01
(Kişisel Ulaştırma Araçlarının İşletimi),2005,Haziran,132.74,6,2005-06-01
(Paket Turlar),2005,Haziran,119.3,6,2005-06-01
(Giyim Ve Ayakkabı),2005,Haziran,118.78,6,2005-06-01
"(Mobilya, Ev Aletleri Ve Ev Bakım Hizmetleri)",2005,Haziran,114.61,6,2005-06-01
(Alkollü İçecekler),2005,Haziran,162.77,6,2005-06-01
"(Diğer Eğlence Araçları Ve Malzemeleri, Bahçe Ve Evcil Hayvanlara İlişkin Ürünler, Hizmetler)",2005,Haziran,125.99,6,2005-06-01
(Haberleşme),2005,Haziran,104.44,6,2005-06-01
(Telefon Ve Telefaks Ekipmanı),2005,Haziran,86.51,6,2005-06-01
"(Züccaciye, Yemek Takımı Ve Hanehalkı Aletleri)",2005,Haziran,117.47,6,2005-06-01
(Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler),2005,Haziran,103.53,6,2005-06-01
(Telefon Ve Telefaks Hizmetleri),2005,Haziran,106.25,6,2005-06-01
(Gerçek Kira),2005,Haziran,141.32,6,2005-06-01
(Gıda),2005,Haziran,109.66,6,2005-06-01
(Ulaştırma Hizmetleri),2005,Haziran,127.44,6,2005-06-01
(Ev Aletleri),2005,Haziran,98.03,6,2005-06-01
"(Görsel-İşitsel Sistemle (Audıo-Vısual), Fotoğrafla Ve Veri İşlemle İle İlgili Ekipman)",2005,Haziran,105.32,6,2005-06-01
(Posta Hizmetleri),2005,Haziran,119.55,6,2005-06-01
(Ulaştırma),2005,Haziran,122.99,6,2005-06-01
"(Elektrik, Gaz Ve Diğer Yakıtlar)",2005,Haziran,112.83,6,2005-06-01
(Diğer Temel Dayanıklı Eğlence Ve Kültür Araçları),2005,Haziran,114.51,6,2005-06-01
(Ev Bakım İçin Mal Ve Hizmetler),2005,Haziran,108.63,6,2005-06-01
(Eğlence Ve Kültür),2005,Haziran,120.14,6,2005-06-01
"(Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)",2005,Haziran,118.14,6,2005-06-01
(Başka Yerde Sınıflandırılamayan Kişisel Bakım Ürünleri),2005,Haziran,112.99,6,2005-06-01
(Ayakta Tedavi Hizmetleri),2005,Haziran,128.91,6,2005-06-01
(Sağlık),2005,Haziran,114.39,6,2005-06-01
Ölçüm bazında,2005,Haziran,116.81,6,2005-06-01
(Konaklama Hizmetleri),2005,Haziran,132.2,6,2005-06-01
(Lokanta Ve Oteller),2005,Haziran,132.69,6,2005-06-01
(Başka Yerde Sınıflandırılmayan Mali Hizmetler),2005,Haziran,128.66,6,2005-06-01
(Ayakkabı),2005,Haziran,120.38,6,2005-06-01
(Düzeyi Belirlenemeyen Eğitim Programları),2005,Haziran,123.44,6,2005-06-01
(Alkolsüz İçecekler),2005,Haziran,116.66,6,2005-06-01
(Ev İçi Tekstil),2005,Haziran,109.53,6,2005-06-01
(Üniversite Eğitimi),2005,Haziran,129.67,6,2005-06-01
(Yemek Hizmetleri),2005,Haziran,133.06,6,2005-06-01
(Çeşitli Mal Ve Hizmetler),2005,Haziran,116.86,6,2005-06-01
(Sigorta),2005,Haziran,127.27,6,2005-06-01
(Kişisel Bakım),2005,Haziran,116.76,6,2005-06-01
(Orta Öğretim Sonrası Ve Üniversite Öncesi Eğitim),2005,Haziran,134.89,6,2005-06-01
(Gıda Ve Alkolsüz İçecekler),2005,Haziran,110.12,6,2005-06-01
(Eğitim),2005,Haziran,134.76,6,2005-06-01
(Yataklı Tedavi Hizmetleri),2005,Haziran,138.79,6,2005-06-01
"(Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri)",2005,Haziran,131.54,6,2005-06-01
(Sosyal Hizmetler),2005,Haziran,135.88,6,2005-06-01
(Konutun Bakım Ve Onarımı),2005,Haziran,115.94,6,2005-06-01
(Orta Öğretim),2005,Haziran,143.23,6,2005-06-01
